Code,buying value,average value,selling value,date
TZS,0.497067,0.502037,0.507007,12/19/2023
UGX,0.330755,0.334062,0.337369,12/19/2023
USD,"1,245.78","1,258.24","1,270.69",12/19/2023
XAF,2.07298,2.093708,2.114436,12/19/2023
XDR,"1,665.13","1,681.77","1,698.42",12/19/2023
XOF,2.073603,2.094337,2.115071,12/19/2023
ZAR,66.989401,67.659227,68.329053,12/19/2023
ZMW,49.831254,50.329516,50.827778,12/19/2023
ZWD,3.283257,3.316086,3.348915,12/19/2023
AED,338.941024,342.330092,345.71916,12/18/2023
AOA,1.472634,1.487359,1.502083,12/18/2023
AUD,835.903237,844.261425,852.619613,12/18/2023
BIF,0.436935,0.441304,0.445673,12/18/2023
CAD,930.748689,940.055236,949.361783,12/18/2023
CHF,"1,431.62","1,445.93","1,460.25",12/18/2023
CNH,174.452943,176.197297,177.94165,12/18/2023
CNY,174.595476,176.341255,178.087033,12/18/2023
DKK,182.218814,184.040818,185.862822,12/18/2023
EGP,40.285806,40.688623,41.09144,12/18/2023
ETB,22.130585,22.351868,22.573152,12/18/2023
EUR,"1,358.55","1,372.13","1,385.71",12/18/2023
GBP,"1,579.56","1,595.36","1,611.15",12/18/2023
GHS,103.607187,104.643155,105.679122,12/18/2023
GNF,0.145023,0.146473,0.147923,12/18/2023
HKD,159.55482,161.150207,162.745594,12/18/2023
ILS,339.542277,342.937356,346.332436,12/18/2023
INR,15.004556,15.154587,15.304617,12/18/2023
JPY,8.749287,8.836771,8.924255,12/18/2023
KES,8.104465,8.185501,8.266538,12/18/2023
KMF,2.757921,2.785497,2.813073,12/18/2023
KRW,0.958519,0.968103,0.977687,12/18/2023
KWD,"4,047.96","4,088.44","4,128.92",12/18/2023
LSL,68.064806,68.745385,69.425965,12/18/2023
LYD,259.289342,261.881973,264.474605,12/18/2023
MAD,122.952466,124.181866,125.411267,12/18/2023
MRO,3.482411,3.517232,3.552053,12/18/2023
MUR,28.209089,28.491151,28.773214,12/18/2023
MWK,0.739429,0.746822,0.754216,12/18/2023
MZN,19.487189,19.682041,19.876893,12/18/2023
NGN,1.575332,1.591084,1.606836,12/18/2023
NOK,119.127726,120.318883,121.51004,12/18/2023
PLN,313.638612,316.774682,319.910751,12/18/2023
QAR,341.413878,344.827672,348.241466,12/18/2023
RUB,13.73234,13.86965,14.006959,12/18/2023
SAR,331.813128,335.130924,338.44872,12/18/2023
SDG,2.073264,2.093995,2.114725,12/18/2023
SEK,121.346635,122.559979,123.773323,12/18/2023
